Sample,RunID,Alternative_RunID,HLA-A,HLA-A,HLA-B,HLA-B,HLA-C,HLA-C,HLA-DRB1,HLA-DRB1,HLA-DQB1,HLA-DQB1,HLA-DQA1,HLA-DQA1
NA18502,SRR764722,SRR764723,2424,7401,1403,5801,701,802,1301,701,501,201,102,201
NA18505,SRR716648,SRR716649,2601,7401,1503,5301,202,701,1503,301,602,201,102,501
NA18507,SRR764745,SRR764746,2301,3001,1503,4201,202,1701,1302,804,605,301,102,501
NA18956,SRR766028,-,201,201,1501,4002,303,304,1502,901,601,303,103,301
NA18978,SRR716650,-,301,3101,4002,4402,501,1402,1301,403,603,302,103,301
NA18994,SRR716431,-,2402,3101,702,4002,304,702,101,802,501,302,101,401
NA18992,SRR716428,-,2402,3303,4403,5201,1202,1403,1302,1502,604,601,102,103
NA18997,SRR702078,-,2402,2603,1501,3901,303,702,406,-,302,303,301,301
NA19005,SRR715906,-,201,3303,5801,6701,302,702,1501,1302,602,605,102,102
NA18508,SRR716637,SRR716638,3303,6802,4201,5301,401,1701,1303,302,201,402,201,401
NA19099,SRR748771,SRR748772,2301,3601,702,702,702,1505,1503,901,502,201,102,301
NA18995,SRR764775,-,2402,3303,1507,4403,303,1403,1302,1101,604,301,102,501
NA19222,SRR748214,SRR177280,3001,3303,4202,4501,1601,1701,1303,403,201,302,201,301
NA18965,SRR764771,SRR764772,2601,3101,4006,5601,401,801,901,901,303,303,301,301
NA19137,SRR792560,SRR792542,201,3001,702,4501,702,1601,1503,1102,602,301,102,501
NA19239,SRR792159,SRR792097,201,6802,3501,5201,401,1601,1301,1201,501,301,103,501
NA19240,SRR792767,SRR792091,3001,6802,3501,5703,401,1801,1602,1201,502,301,102,501
NA19238,SRR792121,SRR792165,3001,3601,5301,5703,401,1801,1602,1101,502,602,102,102
NA18971,SRR077447,SRR078842,206,2402,4002,4002,304,702,1401,901,503,303,101,301
NA18968,SRR077480,SRR081231,1101,3101,4001,5101,702,1402,15xx,1403,602,301,102,501
NA18975,SRR078849,SRR081225,201,206,702,1501,401,702,101,406,501,302,101,301
NA18981,SRR077477,SRR077751,201,3101,5101,5101,1402,1402,802,1501,402,301,401,501
NA19152,SRR071135,SRR071167,301,2601,1510,5601,102,804,1104,1401,502,503,102,101
