Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7366607,2018-06-19 14:59:12,2018-06-19 14:42:28,44054828,7110771090,44054828,161,3608,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/366/SRR7366607.sralite.1,SRX4239559,786-0-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985798,SAMN08519383,simple,9606,Homo sapiens,786-0,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,C11E5847912A2F0BCBDC489F08EB6349,CBD211171EDF60A76E4A5008BCDC03D6
SRR7366608,2018-06-19 14:55:18,2018-06-19 14:36:24,34354687,5565459294,34354687,162,2938,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/366/SRR7366608.sralite.1,SRX4239558,A498-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985794,SAMN08519384,simple,9606,Homo sapiens,A498,,,,,female,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,4A0FBE9F2A620DCA1B267E930DDEC866,8E412177288DD0F6B1E51337122F6418
SRR7366605,2018-06-19 14:46:13,2018-06-19 14:39:31,19756268,3200515416,19756268,162,1848,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/366/SRR7366605.sralite.1,SRX4239561,A549-ATCC-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985809,SAMN08519365,simple,9606,Homo sapiens,A549-ATCC,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,C4FA5313521BA9CBEAB5BA36AE22DAC1,20357D4CDF427A1DA2F81F36D4B1359A
SRR7366606,2018-06-19 15:02:21,2018-06-19 14:46:42,44130259,7149101958,44130259,162,3929,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366606.sralite.1,SRX4239560,ACHN-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985848,SAMN08519385,simple,9606,Homo sapiens,ACHN,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,82FA375CCA60689DC02F7D45BA2A8492,8A9FC7794E54A453A86D7270273CFF7D
SRR7366611,2018-06-19 14:46:13,2018-06-19 14:36:03,19040408,3046465202,19040408,159,2034,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/366/SRR7366611.sralite.1,SRX4239555,BT-549-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985822,SAMN08519334,simple,9606,Homo sapiens,BT-549,,,,,female,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,773A21BC943D4DBB699E426138DAD2F2,EF61A4898A8689AF967B89AE321AEA2A
SRR7366612,2018-06-19 14:38:23,2018-06-19 14:31:51,12177997,1972835433,12177996,161,1553,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366612.sralite.1,SRX4239554,CAKI-1-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985850,SAMN08519386,simple,9606,Homo sapiens,CAKI-1,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,A665115520D737D09349C782176F9533,1409F1F9FE77180D870484182FBCA10E
SRR7366609,2018-06-19 14:53:12,2018-06-19 14:34:44,34612841,5607280242,34612841,162,3041,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/366/SRR7366609.sralite.1,SRX4239557,CCRF-CEM-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985797,SAMN08519349,simple,9606,Homo sapiens,CCRF-CEM,,,,,female,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,9A99F6F7D582898F6BBDB432F084826E,976CC1877B3A5E75736F917F619C2572
SRR7366613,2018-06-20 17:35:12,2018-06-19 15:00:51,39259035,6359963670,39259035,162,3571,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366613.sralite.1,SRX4239553,COLO-205-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985805,SAMN08519342,simple,9606,Homo sapiens,COLO-205,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,840EFBD1DFEFD587E26570362E152AD9,A96866FCFCD5B26B99A250F3B44F04A1
SRR7366583,2018-06-19 14:52:14,2018-06-19 14:42:10,12585408,2038836096,12585408,162,1600,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366583.sralite.1,SRX4239583,DU145-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985795,SAMN08519382,simple,9606,Homo sapiens,DU145,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,6316F240BF4454146CCD3EAEE59413A4,DC1962C7937C507EE082BF76D9CC1A87
SRR7366604,2018-06-20 18:00:21,2018-06-19 14:51:23,105556399,17100136638,105556399,162,8674,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/366/SRR7366604.sralite.1,SRX4239562,EKVX-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985810,SAMN08519366,simple,9606,Homo sapiens,EKVX,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,67F66BF528CD7F8E2CD3A9A8D91DD1BF,4C48C4776920FE016CA16CC1179190F8
SRR7366621,2018-06-19 15:43:12,2018-06-19 14:52:04,48433772,7846271064,48433772,162,4392,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366621.sralite.1,SRX4239545,HCC2998-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985804,SAMN08519343,simple,9606,Homo sapiens,HCC2998,,,,,missing,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,6C0C255344677B05430D651C0480F636,6F8EDF1D320B603F32C025A2E12FBC47
SRR7366622,2018-06-19 14:49:13,2018-06-19 14:36:03,21558745,3492516690,21558745,162,1908,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/366/SRR7366622.sralite.1,SRX4239544,HCT-116-exome,Targeted-Capture,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP150855,PRJNA474665,2,474665,SRS2985807,SAMN08519344,simple,9606,Homo sapiens,HCT-116,,,,,male,,no,,,,,HITHRU ANALYTICS LLC,SRA724673,,public,09CB5402B418491F6150F39D156AAA17,B68A4CCF33F4D2121E8648B7D6E91DB5
