study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP133178	NCI60 Transcriptome	SRX3728624	RNAseq of cell line RE:CAKI_1	RNAseq of cell line RE:CAKI_1	9606	Homo sapiens	CAKI-1	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985850		SAMN08519386	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	70278772	9758275471	SRR6755961	70278772	14196311944
SRP133178	NCI60 Transcriptome	SRX3728623	RNAseq of cell line RE:TK_10	RNAseq of cell line RE:TK_10	9606	Homo sapiens	TK-10	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985849		SAMN08519389	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	71390964	7929887795	SRR6755962	71390964	14278192800
SRP133178	NCI60 Transcriptome	SRX3728622	RNAseq of cell line RE:ACHN	RNAseq of cell line RE:ACHN	9606	Homo sapiens	ACHN	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985848		SAMN08519385	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	126977108	17411512854	SRR6755963	126977108	25649375816
SRP133178	NCI60 Transcriptome	SRX3728621	RNAseq of cell line RE:UO_31	RNAseq of cell line RE:UO_31	9606	Homo sapiens	UO-31	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985847		SAMN08519390	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	80879305	8561568430	SRR6755964	80879305	16175861000
SRP133178	NCI60 Transcriptome	SRX3728620	RNAseq of cell line ME:SK_MEL_28	RNAseq of cell line ME:SK_MEL_28	9606	Homo sapiens	SK-MEL-28	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985846		SAMN08519359	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	86653021	11588496457	SRR6755965	86653021	17503910242
SRP133178	NCI60 Transcriptome	SRX3728619	RNAseq of cell line ME:SK_MEL_5	RNAseq of cell line ME:SK_MEL_5	9606	Homo sapiens	SK-MEL-5	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985845		SAMN08519360	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	280205792	40043704814	SRR6755966	280205792	56601569984
SRP133178	NCI60 Transcriptome	SRX3728618	RNAseq of cell line LE:RPMI_8226	RNAseq of cell line LE:RPMI_8226	9606	Homo sapiens	RPMI-8226	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985844		SAMN08519353	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	30139192	3846686534	SRR6755967	30139192	8024083904
SRP133178	NCI60 Transcriptome	SRX3728617	RNAseq of cell line LE:SR	RNAseq of cell line LE:SR	9606	Homo sapiens	SR	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985843		SAMN08519354	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	94253627	11291596479	SRR6755968	94253627	18850725400
SRP133178	NCI60 Transcriptome	SRX3728616	RNAseq of cell line LE:K_562	RNAseq of cell line LE:K_562	9606	Homo sapiens	K562	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985841		SAMN08519351	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	51434119	6250034499	SRR6755969	51434119	10652595798
SRP133178	NCI60 Transcriptome	SRX3728615	RNAseq of cell line LE:MOLT_4	RNAseq of cell line LE:MOLT_4	9606	Homo sapiens	MOLT-4	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985842		SAMN08519352	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	178074997	25309957907	SRR6755970	178074997	35971149394
SRP133178	NCI60 Transcriptome	SRX3728614	RNAseq of cell line ME:M14	RNAseq of cell line ME:M14	9606	Homo sapiens	M14	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985840		SAMN08519357	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	237090611	35435249996	SRR6755971	237090611	47892303422
SRP133178	NCI60 Transcriptome	SRX3728613	RNAseq of cell line ME:SK_MEL_2	RNAseq of cell line ME:SK_MEL_2	9606	Homo sapiens	SK-MEL-2	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985839		SAMN08519358	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	171502783	21093136957	SRR6755972	171502783	34300556600
SRP133178	NCI60 Transcriptome	SRX3728612	RNAseq of cell line ME:LOXIMVI	RNAseq of cell line ME:LOXIMVI	9606	Homo sapiens	LOX_IMVI	RNA-Seq	TRANSCRIPTOMIC	DNase	PAIRED	SRS2985837		SAMN08519355	PRJNA433861	Illumina HiSeq 2000	Illumina HiSeq 2000	ILLUMINA	88420379	10375872977	SRR6755973	88420379	17684075800
